EMOTION100_001|eQusodesyo.
RECITATION324_243|seNiosoosytssaserunogasyooryienocykamyicyi.
RECITATION324_244|gacyoookau.
RECITATION324_245|fafatowarainagaratanosyktebyoosyi.
RECITATION324_246|jyuuguNkysyawataiisootoonotaiguuoukeru.
RECITATION324_247|cyawaNnyikakaruhodo,syatsunosodenofkurakananode,kakyiidakteenyicyawaNomoQta.
RECITATION324_248|iroirokaksytekyoomadehaNnyiNtotomonyiiru.
RECITATION324_249|urakowanenagaraikyiohyiita.
RECITATION324_250|anyigajyakeNnyisareta.
RECITATION324_251|karewaffksoonyitsubuyaita.
RECITATION324_252|mozoohyiMbakaryidenak,hoMmononodoitssyookooyaheesotsunoherumeQtoouQteirunomoaru.
RECITATION324_253|kanojyotoiQsyonyiirutoocytskyimas.
RECITATION324_254|komaQteruhytonyimuketekyfuosyimasyta.
RECITATION324_255|ocykoNdeirunoka,utsumuitejyiQtosyteiru.
RECITATION324_256|kairyoogassumutopaNwadoNdoNoisykunaru.
RECITATION324_257|koNnakotooiinagara,kyinomyijyikaiojyiisaNwagetaotsuQkakete,sosoksatodeteiQtesyimaQta.
RECITATION324_258|kanojyotohatsudeetonokyoowayumeutstsu.
RECITATION324_259|onajyitookyoononaoyobunyimo,koNgowaosorakkyuutookyootosyiNtookyootonyikubetssarerudearoo.
RECITATION324_260|kosyfuryionyifuNkaNtsuzukeru.
RECITATION324_261|okubyoomonoganyigedasyta.
RECITATION324_262|ehagakytoiQsyonyigyiNironoruaaomaQsyunyiokuQta.
RECITATION324_263|omuraisunyiwakecyaQpugaicyibaN.
RECITATION324_264|storesuwatekyidonyihaQsaNsyimasyoo.
RECITATION324_265|konohytoyoryizohajyimaryikeru.
RECITATION324_266|cyuugakseenotoky,hysyoryokoocyuunyitaicyoookuzusyta.
RECITATION324_267|guNiwabyooiNnomoNnyihairunodearu.
RECITATION324_268|icyinyicyijyuuakaruibyakuyawa,iQsaitaiyoogasyizumanaikotodeokoryimas.
RECITATION324_269|moo,anatanyibakaryimoseeiQpai,darenyimomyiseraremaskaradadewanaiNdes.
RECITATION324_270|myiNnasoroQteumyinyitobyikoNda.
RECITATION324_271|naNdasorya,tooteemuryinaonegaida.
RECITATION324_272|cyoocyfsuwakowaibyookyi.
RECITATION324_273|haikyuuwabareeboorunokotodes.
RECITATION324_274|maQcyiokainyihaiQtanokana.
RECITATION324_275|boNsaiwafuzeegaaru.
RECITATION324_276|yagatebaisyiNiNwagoogyiosurutamenyihooteeodeteiQta.
RECITATION324_277|geejyutsunomotomerueeeNseenyigyimoNokaNjyiru.
RECITATION324_278|kykytskete,kudaNnooona,buruburutokaburyiofuQta.
RECITATION324_279|kyerutseotooQtedobyenyi,zaryipyekaramyeinyiiku.
RECITATION324_280|maryiaaNskeeraazunyeootozureru.
RECITATION324_281|nyuugyuuomyinagara,retyunohaiQtapyiQtsaotaberu.
RECITATION324_282|udunosoosyaoseryoosyta.
RECITATION324_283|iNsutyityuutode,ryidyuusunohanasytoawasete,rudyuQkunohanasyimokyiita.
RECITATION324_284|gyenaaomyiteyeeitosakebu.
RECITATION324_285|siidyiiokykyinagara,dyaakoNotaberu.
RECITATION324_286|tyosaNwaziiburaomyita.
RECITATION324_287|revoryuusyoN,regyureesyoN,edyukeesyoN.
RECITATION324_288|bureNdodyooto,raatyaN.
RECITATION324_289|aQano,iQie,eQee,oQoi,NNtone.
RECITATION324_290|ibukasyigenyimyiagetaamagumokara,kohakuironodoragoNgagyuNtoarawareta.
RECITATION324_291|nunodegyugyuQtonuNcyakuosyibaru.
RECITATION324_292|fkuonuguga,itsumojyoogegasakasamada.
RECITATION324_293|hookagonooNgaksytsude,koooNogaMbaQtedasyta.
RECITATION324_294|mogomogosyinagarayuugyaguwaomosyirokunai.
RECITATION324_295|kaisuigyonogyogyoonoiQkaNtosyte,cyigyogasodaterareteiru.
RECITATION324_296|muMmuNtosytaneQkyinyi,anotaNsuigyomohetohetonyinaQteiru.
RECITATION324_297|hesutyiasyocyoowa,jyuunyioNoNgakunosahooosyiQteiru.
RECITATION324_298|sysaisyawa,konofesunokyapagacyiisaikotoo,sesyirukarakyiita.
RECITATION324_299|hahawa,safuraNraisto,satsumaimonohaiQtasycyuuto,potofuohafhafsyinagaratabeta.
RECITATION324_300|sosyte,sakyootocysawahefaekyinyitsuita.
RECITATION324_301|nemototosoharawasykuNohyhaNsyta.
RECITATION324_302|kekeQtowarainagara,tsharawapatokaanyinoQta.
RECITATION324_303|kykyuQtonarasytaktsudepasuodasyta.
RECITATION324_304|tyifanyiiwapapyiinyimugyuQtodakytskyinagara,cycyuQtokysuosy,seNkytoiQta.
RECITATION324_305|sonogyiguNwa,icyhektaaruhofkuzeNsyiNosyta.
RECITATION324_306|heheQto,kyatsuwakobyihetsuraQta.
RECITATION324_307|hotoNdonohycyoosasyawa,syasyiNosyasaisyta.
RECITATION324_308|hosaga,iQsaNkataNsocyuudokunyinarutoyuuhapunyiNguwaokyinakaQta.
RECITATION324_309|scyuudeNtogahysaisurufaktaao,kanoonakagyiryitoryiharau.
RECITATION324_310|kafetowa,bureQkfastotosyte,fokaQcyaotabererubasyodemoaru.
RECITATION324_311|ftsuu,syokyuusyadewa,koooNonobaskotowadekyinai.
RECITATION324_312|karekarasytara,sacyuukaNkaramyirukesykyiwakycyoodaQta.
RECITATION324_313|syepaadotodookyocyuunyi,fostaawasonokakuzukehyooomyita.
RECITATION324_314|kyokyoneN,kyosuutohecyoocyoonyitsuitemanaNda.
